ninsee,transport_autoroute,transport_départementale,transport_nationale,transport_autres_routes,transport_total_général
77352,0,7711.53350519089,0,1664.857922394128,9376.391427585018
77353,0,8329.844034630007,0,121.718888108282,8451.562922738289
77354,3229.44660999678,11622.991764748444,0,0,14852.438374745225
77355,0,5910.702552441488,0,0,5910.702552441488
77356,0,2675.906839917658,0,1333.653501733151,4009.5603416508097
77357,0,12123.87128894896,0,5443.351510552876,17567.222799501837
77358,0,3427.5203916364135,3155.763066385206,1897.588126723366,8480.871584744986
77359,456.615754151795,9049.24599297248,0,772.59675565429,10278.458502778563
77360,0,8140.226525255443,0,1043.9441191145202,9184.170644369962
77361,0,11098.176015189694,0,1013.4384142656,12111.614429455294
77363,2452.9193321667785,3078.2620141077177,0,3028.447359129504,8559.628705404
77364,0,4589.25639342616,0,963.8292302040701,5553.08562363023
77365,0,4078.7586454212833,0,811.2817489457998,4890.040394367083
77366,0,945.081207803458,0,977.82186550802885,1922.9030733114869
77367,0,10783.87252376748,0,2292.00396001201,13075.876483779492
77368,0,4248.601756184709,0,3108.801667015476,7357.403423200185
77369,0,5133.810098944828,0,165.1468508407768,5298.956949785605
77370,6303.056835175947,15255.407871421095,0,0,21558.46470659704
77371,0,13454.022124976773,0,881.736467626232,14335.758592603004
77372,2552.9374831846317,7683.625321561849,0,2116.513466192104,12353.076270938584
77373,0,5643.653108033986,7700.033727013616,13241.760707913534,26585.447542961138
77374,0,7669.2099796164885,0,1643.014676037692,9312.224655654181
77376,0,2660.1200504630283,0,1601.3823926174807,4261.50244308051
77377,0,10267.685823130303,0,5777.754909294212,16045.440732424517
77378,0,4278.786224430597,0,1939.441557233266,6218.227781663863
77379,0,22315.176206175172,0,8442.965598152814,30758.141804327985
77380,0,6011.482035112436,0,0,6011.482035112436
77381,0,10070.77716920336,0,3118.859788716938,13189.636957920298
77382,3325.7757194090204,8603.48719614656,0,3434.670135817023,15363.933051372604
77383,0,8656.676602171385,0,4201.363060788281,12858.039662959663
77384,6741.068729817879,8798.327451096306,0,5066.625288576073,20606.021469490257
77385,0,13210.327960336632,0,1135.85115866148,14346.179118998112
77386,0,4208.386720347392,0,2158.555208689436,6366.941929036828
77387,0,11612.355276880524,0,127.49765043818,11739.852927318703
77388,0,5657.085386239827,0,1405.362567247993,7062.44795348782
77389,0,4449.230925019513,0,3964.17493276661,8413.405857786121
77390,0,11692.259028499428,0,3188.6538027947986,14880.912831294228
77391,0,5047.3956692918355,0,2073.028373200878,7120.424042492714
77392,0,1296.122405868228,2528.623821802687,2382.58417787256,6207.330405543475
77393,0,4957.222413573227,2112.0054533207776,712.9505186015055,7782.17838549551
77394,0,7815.437039277446,0,61.025364947220545,7876.462404224667
77395,0,5631.109965548791,0,474.807898736202,6105.917864284993
77396,0,6122.623229336706,0,0,6122.623229336706
77397,0,12475.601361299896,0,167.88425756480729,12643.485618864705
77398,0,10466.328002401022,0,0,10466.328002401022
77400,0,5468.409438294463,0,761.3465523583245,6229.755990652788
77401,1033.8418110465884,7536.751180583968,0,2934.512477089832,11505.105468720389
77402,0,10876.598531149655,0,2000.97636240013,12877.574893549789
77403,0,9751.94976627795,0,1064.3668522960268,10816.316618573976
77404,0,4231.002226404666,0,3280.777724806745,7511.779951211412
77405,0,14092.066059194782,0,190.251404668035,14282.317463862815
77406,0,11907.235492725713,0,498.171956040881,12405.407448766591
77407,1733.34906244827,9028.914301728151,0,13805.600016274564,24567.86338045099
77408,0,1418.92508626498,0,1119.44424397233,2538.3693302373104
77409,0,9556.586294449839,0,1862.081364687378,11418.667659137216
77410,2056.786569234506,6339.903917085077,0,0,8396.690486319583
77411,0,4608.941926783427,0,1800.600550115867,6409.542476899294
77412,1940.75706064974,2547.283372635722,1594.298208787574,782.25426849865,6864.592910571687
77413,17.5092201308095,4273.089344205745,0,0,4290.598564336555
77414,0,15079.932936284324,0,3166.250612462636,18246.18354874696
77415,4782.717352198998,6247.319465094824,0,6666.988921571897,17697.02573886572
77416,0,4166.596474532316,0,2494.974524442016,6661.570998974332
77417,0,5532.545875699131,0,0,5532.545875699131
77418,0,8328.402660093341,0,0,8328.402660093341
77419,0,1336.3925616917488,0,1560.9550291899193,2897.347590881668
77420,0,6084.139787028015,2334.804706093428,130.155040342953,8549.099533464398
77421,0,14686.199370177912,0,0,14686.199370177912
77423,0,5749.864227859518,0,0,5749.864227859518
